Price, Product_name, Image 
$259.99Intel Core i5-8600K Coffee Lake 6-Core 3|6 GHz (4|3 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I58600K Desktop Processor Intel UHD Graphics 630,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-825-Z01.jpg
$369.99Intel Core i7-8700K Coffee Lake 6-Core 3|7 GHz (4|7 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I78700K Desktop Processor Intel UHD Graphics 630,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-827-Z01.jpg
$159.99AMD RYZEN 5 2600 6-Core 3|4 GHz (3|9 GHz Max Boost) Socket AM4 65W YD2600BBAFBOX Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-496-V01.jpg
$259.99Intel Core i5-8600K Coffee Lake 6-Core 3|6 GHz (4|3 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I58600K Desktop Processor Intel UHD Graphics 630,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-825-Z01.jpg
$309.99AMD RYZEN 7 2700X 8-Core 3|7 GHz (4|3 GHz Max Boost) Socket AM4 105W YD270XBGAFBOX Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-499-V01.jpg
$99.99AMD RYZEN 3 2200G Quad-Core 3|5 GHz (3|7 GHz Turbo) Socket AM4 65W YD2200C5FBBOX Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-481-V01.jpg
$74.99AMD FX-8350 Black Edition Vishera 8-Core 4|0 GHz (4|2 GHz Turbo) Socket AM3+ 125W FD8350FRHKBOX Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-284-04.jpg
$199.99Intel Core i5-8400 Coffee Lake 6-Core 2|8 GHz (4|0 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I58400 Desktop Processor Intel UHD Graphics 630,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-824-Z01.jpg
$309.99Intel Core i7-8700 Coffee Lake 6-Core 3|2 GHz (4|6 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I78700 Desktop Processor Intel UHD Graphics 630,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-826-Z01.jpg
$129.99Intel Core i3-8100 Coffee Lake Quad-Core 3|6 GHz LGA 1151 (300 Series) 65W BX80684I38100 Desktop Processor Intel UHD Graphics 630,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-822-Z01.jpg
$159.99AMD RYZEN 5 2400G Quad-Core 3|6 GHz (3|9 GHz Turbo) Socket AM4 65W YD2400C5FBBOX Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-480-V01.jpg
$549.99Intel Core i9-9900K Coffee Lake 8-Core, 16-Thread, 3|6 GHz (5|0 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I99900K Desktop Processor Intel UHD Graphics 630,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-957-V01.jpg
$249.99AMD RYZEN 7 2700 8-Core 3|2 GHz (4|1 GHz Max Boost) Socket AM4 65W YD2700BBAFBOX Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-498-V01.jpg
$219.99AMD RYZEN 5 2600X 6-Core 3|6 GHz (4|2 GHz Max Boost) Socket AM4 95W YD260XBCAFBOX Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-497-V01.jpg
$399.99Intel Core i7-9700K Coffee Lake 8-Core 3|6 GHz (4|9 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I79700K Desktop Processor Intel UHD Graphics 630,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-958-V03.jpg
$49.99AMD FX-6300 Vishera 6-Core 3|5 GHz Socket AM3+ 95W FD6300WMHKBOX Desktop Processor,//c1.neweggimages.com/ProductImageCompressAll300/19-113-286-04.jpg
$244.99Intel Core i5-9600K Coffee Lake 6-Core 3|7 GHz (4|6 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I59600K Desktop Processor Intel UHD Graphics 630,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-959-V01.jpg
$94.99AMD RYZEN 3 1200 4-Core 3|1 GHz (3|4 GHz Turbo) Socket AM4 65W YD1200BBAEBOX Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-446-V01.jpg
$899.99AMD 2nd Gen Ryzen Threadripper 2950X, 16-Core, 32-Thread, 4|4 GHz Max Boost (3|5 GHz Base), Socket sTR4 180W YD295XA8AFWOF Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-542-V01.jpg
$59.99AMD Athlon 200GE 2-Core, 4-Thread, 3|2 GHz Base, Socket AM4 35W YD200GC6FBBOX Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-544-V01.jpg
$1,729.99AMD 2nd Gen RYZEN Threadripper 2990WX 32-Core, 64-Thread, 4|2 GHz Max Boost (3|0 GHz Base), Socket sTR4 250W YD299XAZAFWOF Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-541-V01.jpg
$364.99Intel Core i7-7800X Skylake-X 6-Core 3|5 GHz LGA 2066 140W BX80673I77800X Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-793-S05.jpg
$569.99AMD 1st Gen RYZEN Threadripper 1950X 16-Core / 32 Threads 3|4 GHz Socket sTR4 180W YD195XA8AEWOF Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-447-V01.jpg
$199.99AMD RYZEN 7 1700 8-Core 3|0 GHz (3|7 GHz Turbo) Socket AM4 65W YD1700BBAEBOX Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-428-01.jpg
$2,049.99Intel Core i9-7980XE Skylake X 18-Core 2|6 GHz LGA 2066 165W BX80673I97980X Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-836-Z01.jpg
$999.99Intel Core i9-9900X Skylake X 10-Core 3|5 GHz (4|4 GHz Turbo) LGA 2066 165W BX80673I99900X Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-962-Z01.jpg
$319.99AMD 1st Gen RYZEN Threadripper 1900X 8-Core / 16 Threads 3|8 GHz Socket sTR4 180W YD190XA8AEWOF Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-457-V02.jpg
$52.99Intel Celeron G4900 Coffee Lake Dual-Core 3|1 GHz LGA 1151 (300 Series) 54W BX80684G4900 Desktop Processor Intel UHD Graphics 610,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-871-Z01.jpg
$1,999.99Intel Core i9-9980XE Skylake X 18-Core 3|0 GHz (4|4 GHz Turbo) LGA 2066 165W BX80673I99980X Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-966-Z01.jpg
$1,129.99Intel Core i9-7940X Skylake X 14-Core 3|1 GHz LGA 2066 165W BX80673I97940X Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-834-01.jpg
$94.99Intel Pentium Gold G5500 Coffee Lake Dual-Core 3|8 GHz LGA 1151 (300 Series) 54W BX80684G5500 Desktop Processor Intel UHD Graphics 630,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-877-Z01.jpg
$470.99Intel Core i7-8086K Coffee Lake 6-Core 4|0 GHz (5|0 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I78086K Desktop Processor Intel UHD Graphics 630,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-932-V01.jpg
$164.99AMD RYZEN 5 1500X 4-Core 3|5 GHz (3|7 GHz Turbo) Socket AM4 65W YD150XBBAEBOX Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-436-Z01.jpg
$989.99Intel Core i9-7920X Skylake X 12-Core 2|9 GHz LGA 2066 140W BX80673I97920X Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-811-Z01.jpg
$229.99AMD RYZEN 7 1700X 8-Core 3|4 GHz (3|8 GHz Turbo) Socket AM4 95W YD170XBCAEWOF Desktop Processor,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-429-S01.jpg
$899.99Intel Core i9-9820X Skylake X 10-Core 3|3 GHz (4|1 GHz Turbo) LGA 2066 165W BX80673I99820X Desktop Processor - Retail,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-332-V01.jpg
$359.99Intel Core i7-4790K Devil's Canyon Quad-Core 4|0 GHz LGA 1150 88W BX80646I74790K Desktop Processor Intel HD Graphics 4600,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-369-02.jpg
